Date,Open_PT,Volume_PT,Open_TH,Volume_TH,COVID_ND,COVID_NC,COVID_TV
11/24/2020,108.769997,57900,193.490005,3917200,1886,175822,1972778
11/25/2020,111.349998,68700,188.279999,2114700,2304,195689,2226510
11/27/2020,106.669998,26000,192,1758200,1671,165966,1513708
11/30/2020,106.239998,65800,198,3108400,1600,152692,1466456
12/1/2020,108.129997,54800,198.660004,2519900,2384,193345,1844363
12/2/2020,107.330002,53200,192.330002,1940900,2784,210134,2100019
12/3/2020,105.32,69500,196.5,2548400,2723,218466,2148646
12/4/2020,106.260002,39400,197.399994,2447300,2630,225975,2119441
12/7/2020,109,60800,199.279999,2967700,2017,183767,1541134
12/8/2020,108.010002,56200,199.789993,1760400,2549,227936,1916430
12/9/2020,114.699997,80900,199.5,2551200,3370,222552,2125192
12/10/2020,112.160004,36800,192.169998,2120500,2693,209233,2182731
12/11/2020,111.059998,68200,198.929993,1839800,3203,247444,2057419
12/14/2020,111.75,89900,197.509995,2155500,2018,198288,1495557
12/15/2020,113.900002,124500,196.089996,1870700,2765,200664,1947559
12/16/2020,118.970001,84500,188.25,6965800,3395,241850,2077970
12/17/2020,118.129997,66200,190,3020300,3347,247213,2054247
12/18/2020,119.980003,239400,197.139999,3525000,2976,237278,2022783
12/21/2020,117.330002,103200,199,3856800,2188,183821,1529954
12/22/2020,117.949997,90300,201.990005,3107400,2910,199108,1989237
12/23/2020,120.949997,57500,206.550003,2934300,3209,226962,2281734
12/24/2020,121.760002,17500,211.330002,1960500,3032,202822,1893199
12/28/2020,122.559998,63500,209.139999,3234900,2240,178466,1310205
12/29/2020,124.599998,54700,200.460007,1871700,3360,209307,1887578
12/30/2020,121.519997,44600,202,1633100,3770,237846,2193201
12/31/2020,119.830002,83100,202.960007,1924000,3774,230254,1925782
1/4/2021,121.209999,72600,199.800003,2552800,2092,175357,1410588
1/5/2021,118.360001,48800,200.009995,2086200,3490,243777,1974736
1/6/2021,123.400002,99900,199.164993,3629300,3864,259556,2340687
1/7/2021,128.059998,48600,209,5913100,3981,270164,2263498
